state,fish
Andhra Pradesh,Pomfret
Arunachal Pradesh,Trout
Assam,Rohu
Bihar,Rohu
Chhattisgarh,Rohu
Goa,Surmai
Gujarat,Pomfret
Haryana,Mrigal
Himachal Pradesh,Trout
Jharkhand,Rohu
Karnataka,Bangudi
Kerala,Karimeen
Madhya Pradesh,Rohu
Maharashtra,Surmai
Manipur,Ngari
Meghalaya, Carp
Mizoram,Hilsa
Nagaland,Rohu
Odisha,Rohu
Punjab,Rohu
Rajasthan,Catla
Sikkim,Trout
Tamil Nadu,Vanjaram
Telangana,Rohu
Tripura,Catla
Uttar Pradesh,Rohu
Uttarakhand,Trout
West Bengal,Hilsa
Andaman and Nicobar Islands, Mahi-Mahi
Chandigarh,Mrigal
Dadra and Nagar Haveli,Tilapia
Daman and Diu,Surmai
Lakshadweep,Kawakawa
Delhi,Rohu
Puducherry,Mathi
Ladakh,Arctic Grayling